Year;Januar Durchschnittliche Temperaturanomalität (C);Februar Durchschnittliche Temperaturanomalität (C);März Durchschnittliche Temperaturanomalität (C);April Durchschnittliche Temperaturanomalität (C);Mai Durchschnittliche Temperaturanomalität (C);Juni Durchschnittliche Temperaturanomalität (C);Juli Durchschnittliche Temperaturanomalität (C);August Durchschnittliche Temperaturanomalität (C);September Durchschnittliche Temperaturanomalität (C);Oktober Durchschnittliche Temperaturanomalität (C);November Durchschnittliche Temperaturanomalität (C);Dezember Durchschnittliche Temperaturanomalität (C);Jährliche Durchschnittliche Temperaturanomalität (C);Durchschnittliche Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Relative Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Minimale Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Maximale Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Monat, in welchem das Minimum erreicht wurde.;Monat, in welchem das Maximum erreicht wurde.;Globale durchschnittliche Meeresspiegelveränderung (mm);relative Globale  Meeresspiegelveränderung (mm);Globale CO2 Werte (ppm)
1991;0.4512;0.4661;0.3658;0.5168;0.4107;0.4813;0.4462;0.388;0.3863;0.3292;0.3175;0.3064;0.4055;6.47;6 to 7 million sq km;6.259;15.647;September;February;3.8;positive;355.57
1992;0.4721;0.4485;0.4333;0.2936;0.3276;0.2821;0.1359;0.1405;0.0588;0.1154;0.0943;0.2833;0.2571;7.47;above 7 million sq km;7.159;15.576;September;March;6.6;positive;356.38
1993;0.384;0.3967;0.4208;0.3155;0.3438;0.293;0.2336;0.2118;0.1692;0.2442;0.092;0.3188;0.2853;6.4;6 to 7 million sq km;6.161;16.048;September;March;2.1;positive;357.07
1994;0.2902;0.0791;0.3568;0.3568;0.3819;0.387;0.3155;0.3119;0.33;0.4273;0.453;0.4009;0.3409;7.14;above 7 million sq km;6.934;15.77;September;February;5.5;positive;358.82
1995;0.5487;0.6895;0.4637;0.4097;0.3537;0.4657;0.4295;0.5056;0.3865;0.4376;0.455;0.3477;0.4577;6.08;6 to 7 million sq km;6.012;15.384;September;March;10.7;positive;360.8
1996;0.2625;0.4562;0.3242;0.2725;0.3908;0.3547;0.3238;0.3206;0.2696;0.2276;0.2816;0.3893;0.3228;7.58;above 7 million sq km;7.147;15.484;September;February;14.4;positive;362.59
1997;0.3746;0.4288;0.4617;0.4551;0.4235;0.5308;0.5101;0.5491;0.625;0.6487;0.5865;0.6302;0.5187;6.69;6 to 7 million sq km;6.602;15.684;September;March;22.6;positive;363.71
1998;0.6042;0.866;0.6396;0.7358;0.6679;0.6657;0.7358;0.6816;0.5271;0.4965;0.4132;0.5796;0.6344;6.54;6 to 7 million sq km;6.293;16.07;September;February;15;positive;366.65
1999;0.5007;0.6733;0.3702;0.459;0.4086;0.4203;0.4029;0.3695;0.3976;0.3773;0.3688;0.5779;0.4438;6.12;6 to 7 million sq km;5.676;15.627;September;March;21.7;positive;368.33
2000;0.3467;0.5439;0.5561;0.6311;0.4657;0.4076;0.3919;0.4557;0.4384;0.3027;0.2557;0.3192;0.4262;6.25;6 to 7 million sq km;5.943;15.498;September;March;22.6;positive;369.52
2001;0.472;0.3946;0.6293;0.5666;0.5997;0.5373;0.5586;0.6032;0.505;0.5006;0.688;0.5128;0.5473;6.73;6 to 7 million sq km;6.567;15.742;September;March;27.1;positive;371.13
2002;0.6962;0.7846;0.7887;0.5725;0.5656;0.589;0.6229;0.5359;0.5661;0.4773;0.5918;0.4366;0.6023;5.83;5 to 6 million sq km;5.625;15.624;September;March;26.1;positive;373.22
2003;0.6907;0.5626;0.5702;0.5601;0.5954;0.5381;0.5408;0.6202;0.6412;0.7271;0.5784;0.7361;0.6134;6.12;6 to 7 million sq km;5.969;15.629;September;March;35.1;positive;375.77
2004;0.5979;0.7232;0.6964;0.594;0.4442;0.4707;0.4806;0.5141;0.5331;0.6177;0.7601;0.5081;0.5783;5.98;5 to 6 million sq km;5.77;15.3;September;March;34.5;positive;377.49
2005;0.6223;0.5143;0.6918;0.7314;0.6573;0.6722;0.6572;0.6247;0.6867;0.693;0.728;0.6235;0.6585;5.5;5 to 6 million sq km;5.314;14.993;September;March;34.1;positive;379.8
2006;0.4567;0.6221;0.5931;0.5177;0.5499;0.6399;0.6218;0.6231;0.6337;0.6774;0.6449;0.7692;0.6125;5.86;5 to 6 million sq km;5.746;14.777;September;March;35.6;positive;381.9
2007;0.8839;0.6609;0.6668;0.7336;0.609;0.5374;0.5286;0.5509;0.5775;0.567;0.5172;0.4872;0.61;4.27;4 to 5 million sq km;4.147;14.842;September;March;39.1;positive;383.77
2008;0.2746;0.3774;0.7625;0.4827;0.5011;0.5314;0.5796;0.5594;0.5318;0.669;0.6703;0.5635;0.5419;4.69;4 to 5 million sq km;4.548;15.354;September;February;49;positive;385.59
2009;0.5955;0.5679;0.5794;0.6539;0.5868;0.6741;0.6439;0.6998;0.7083;0.6418;0.6716;0.6176;0.6367;5.26;5 to 6 million sq km;5.047;15.195;September;March;55.5;positive;387.37
2010;0.6958;0.708;0.847;0.8287;0.7582;0.7339;0.7287;0.6595;0.5724;0.6268;0.7682;0.4894;0.7014;4.87;4 to 5 million sq km;4.59;15.351;September;March;51.4;positive;389.85
2011;0.4706;0.4976;0.5915;0.6522;0.5741;0.6465;0.6282;0.616;0.5998;0.6349;0.4857;0.5485;0.5788;4.56;4 to 5 million sq km;4.333;14.704;September;March;51.5;positive;391.62
2012;0.4228;0.4235;0.5218;0.7335;0.7221;0.7039;0.6884;0.6694;0.7266;0.7022;0.7087;0.4655;0.624;3.57;under 4 million sq km;3.34;15.307;September;March;62.4;positive;393.81
2013;0.5873;0.6357;0.6139;0.561;0.7141;0.6838;0.6662;0.6605;0.6857;0.6787;0.8293;0.6981;0.6679;5.21;5 to 6 million sq km;5.04;15.196;September;March;64.9;positive;396.52
2014;0.6936;0.48;0.7695;0.8006;0.7938;0.7623;0.6988;0.7986;0.7872;0.7851;0.6895;0.8308;0.7408;5.22;5 to 6 million sq km;4.988;15.007;September;March;68.5;positive;398.64
2015;0.8141;0.8843;0.8969;0.7741;0.8584;0.8835;0.8072;0.8746;0.926;0.9913;0.9655;1.1219;0.8998;4.62;4 to 5 million sq km;4.387;14.554;September;February;79.6;positive;400.83
2016;1.0569;1.1921;1.2245;1.0733;0.8738;0.9006;0.8687;0.8998;0.8767;0.7292;0.7504;0.7895;0.9363;4.53;4 to 5 million sq km;4.145;14.566;September;March;81.8;positive;404.22
2017;0.88;1.78;1.05;0.9;0.83;0.82;1.2;1.17;2.11;0.73;0.75;1.45;1.14;4.82;4 to 5 million sq km;4.635;14.449;September;March;82.9;positive;406.55
2018;0.71;1.17;2.68;0.83;0.8;0.75;0.75;0.94;0.78;1.24;0.77;0.86;1.02;4.79;4 to 5 million sq km;4.63;14.499;September;March;87.3;positive;408.52
2019;0.88;0.79;1.06;1.48;0.85;0.81;1.23;0.92;0.95;0.98;0.92;1.05;0.99;4.36;4 to 5 million sq km;4.166;14.896;September;March;94.2;positive;411.43
2020;1.14;1.17;1.16;1.06;0.95;0.92;0.92;0.94;0.97;0.85;0.97;0.78;0.99;3.92;under 4 million sq km;3.709;15.155;September;March;94.6;positive;414.01
